PERIOD_NAME,PERIOD_YEAR,QUATER,PERIOD_NUM,MONTH_NAME,budegt_CHAPTER,JTRANSACTION_DATE,ACTUAL_FLAG,DR,CR,ANNUAL_BUDGET,ADJUSTMENT_BUDGET,REVISED_BUDGET,ACTUAL_AMOUNT,FUND_AVAILABLE,ENCUMBRANCE_AMOUNT,ENTITY_CODE,ENTITY_DESCRIPTION,DIRECTORATE,COST_CENTER_CODE,COST_CENTER_DESCRIPTION,BUDGET_GROUP_CODE,BUDGET_GROUP_DESCRIPTION,ACCOUNT_CODE,ACCOUNT_DESCRIPTION,ACTIVITY_CODE,ACTIVITY_DESCRIPTION,FUTURE1,FUTURE1_DESCRIPTION,FUTURE2,FUTURE2_DESCRIPTION,ACCOUNT_TYPE,LEDGER_NAME,ACCOUNTED_DR,ACCOUNTED_CR,ADDITION_BUDGET,TRANSFER_BUDGET,GL_CODE
Apr,2025,Q2,4,Apr,Operational,2024-12-11,Y,80950.1,34866.6,138470.62,47026.16,185496.78,73748.33,53890.54000000001,57857.91,E971,Entity E971,DVC-Support Services,8450238,Cost Center 8450238,BG878,Budget Group BG878,A9155,Capital Expenditure,ACT572,Activity ACT572,F1-59,Future 1 F1-59,F2-32,Future 2 F2-32,Expense,Project Ledger,80950.1,34866.6,20873.53,6856.5,E971-BG878-8450238-A9155-F1-59-F2-32
Sep,2023,Q3,9,Sep,Operational,2024-01-02,Y,9310.28,89721.58,460167.22,31655.07,491822.29,166742.41,211558.87,113521.01,E915,Entity E915,DVC-Academic,8450317,Cost Center 8450317,BG230,Budget Group BG230,A5499,Consultancy Services,ACT251,Activity ACT251,F1-63,Future 1 F1-63,F2-42,Future 2 F2-42,Revenue,Project Ledger,9310.28,89721.58,2524.2,4848.86,E915-BG230-8450317-A5499-F1-63-F2-42
Aug,2024,Q3,8,Aug,Capital,2024-08-14,N,10147.15,66350.18,102024.63,8040.4,110065.03,60396.4,15303.14,34365.49,E819,Entity E819,DVC-Support Services,8450278,Cost Center 8450278,BG260,Budget Group BG260,A6699,Maintenance Costs,ACT900,Activity ACT900,F1-23,Future 1 F1-23,F2-30,Future 2 F2-30,Revenue,Project Ledger,10147.15,66350.18,10994.06,22325.12,E819-BG260-8450278-A6699-F1-23-F2-30
Jan,2023,Q1,1,Jan,Capital,2024-06-24,N,50881.41,63633.26,200184.73,29493.54,229678.27000000002,224830.42,2488.2000000000116,2359.65,E875,Entity E875,DVC-Academic,8450392,Cost Center 8450392,BG126,Budget Group BG126,A1225,Salary and Wages,ACT376,Activity ACT376,F1-39,Future 1 F1-39,F2-37,Future 2 F2-37,Expense,Project Ledger,50881.41,63633.26,25925.03,6905.56,E875-BG126-8450392-A1225-F1-39-F2-37
Apr,2025,Q2,4,Apr,Capital,2024-07-10,Y,4360.38,99455.05,287977.81,13978.02,301955.83,266776.17,8875.170000000042,26304.49,E136,Entity E136,DVC-Academic,8450389,Cost Center 8450389,BG448,Budget Group BG448,A1301,Salary and Wages,ACT280,Activity ACT280,F1-69,Future 1 F1-69,F2-72,Future 2 F2-72,Expense,General Ledger,4360.38,99455.05,5727.33,8054.25,E136-BG448-8450389-A1301-F1-69-F2-72
Feb,2023,Q1,2,Feb,Operational,2024-08-10,N,69602.98,57006.12,138870.6,30750.36,169620.96000000002,167933.88,1450.750000000029,236.33,E254,Entity E254,DVC-CEC,8450495,Cost Center 8450495,BG884,Budget Group BG884,A9096,Capital Expenditure,ACT492,Activity ACT492,F1-52,Future 1 F1-52,F2-57,Future 2 F2-57,Expense,General Ledger,69602.98,57006.12,8895.3,12593.43,E254-BG884-8450495-A9096-F1-52-F2-57
Sep,2023,Q3,9,Sep,Operational,2024-11-11,N,518.49,62789.44,177709.58,3547.05,181256.62999999998,71919.7,103786.04999999997,5550.88,E982,Entity E982,DVC-Support Services,8450252,Cost Center 8450252,BG191,Budget Group BG191,A6919,Maintenance Costs,ACT826,Activity ACT826,F1-72,Future 1 F1-72,F2-95,Future 2 F2-95,Expense,General Ledger,518.49,62789.44,4651.25,29455.23,E982-BG191-8450252-A6919-F1-72-F2-95
Oct,2024,Q4,10,Oct,Operational,2024-12-07,Y,3734.82,82260.06,244076.26,6353.03,250429.29,130785.01,27518.959999999992,92125.32,E719,Entity E719,VC Office,8450114,Cost Center 8450114,BG202,Budget Group BG202,A6315,Maintenance Costs,ACT873,Activity ACT873,F1-56,Future 1 F1-56,F2-64,Future 2 F2-64,Revenue,Project Ledger,3734.82,82260.06,3982.36,29086.11,E719-BG202-8450114-A6315-F1-56-F2-64
Mar,2023,Q1,3,Mar,Manpower,2024-04-29,Y,43352.07,74404.26,200344.21,9216.68,209560.88999999998,16947.81,110114.10999999999,82498.97,E740,Entity E740,VC Office,8450167,Cost Center 8450167,BG733,Budget Group BG733,A1512,Salary and Wages,ACT850,Activity ACT850,F1-43,Future 1 F1-43,F2-57,Future 2 F2-57,Expense,Project Ledger,43352.07,74404.26,28038.42,19148.12,E740-BG733-8450167-A1512-F1-43-F2-57
Jul,2025,Q3,7,Jul,Capital,2024-03-09,N,73003.93,4771.61,326414.88,7932.32,334347.2,40176.71,193599.58000000002,100570.91,E319,Entity E319,VC Office,8450178,Cost Center 8450178,BG146,Budget Group BG146,A3141,IT Equipment,ACT849,Activity ACT849,F1-71,Future 1 F1-71,F2-78,Future 2 F2-78,Revenue,Project Ledger,73003.93,4771.61,2935.02,14748.48,E319-BG146-8450178-A3141-F1-71-F2-78
Apr,2023,Q2,4,Apr,Capital,2024-09-10,N,64977.37,4805.89,479658.29,44334.02,523992.31,136706.25,381358.82,5927.24,E758,Entity E758,,8450205,Cost Center 8450205,BG868,Budget Group BG868,A5611,Consultancy Services,ACT115,Activity ACT115,F1-33,Future 1 F1-33,F2-89,Future 2 F2-89,Expense,Project Ledger,64977.37,4805.89,795.34,17573.27,E758-BG868-8450205-A5611-F1-33-F2-89
Apr,2024,Q2,4,Apr,Operational,2024-06-11,N,12850.04,81120.42,428255.79,31296.98,459552.76999999996,377029.43,28760.639999999956,53762.7,E142,Entity E142,VC Office,8450153,Cost Center 8450153,BG384,Budget Group BG384,A5107,Consultancy Services,ACT706,Activity ACT706,F1-55,Future 1 F1-55,F2-11,Future 2 F2-11,Expense,General Ledger,12850.04,81120.42,18547.62,10096.63,E142-BG384-8450153-A5107-F1-55-F2-11
Aug,2023,Q3,8,Aug,Capital,2024-03-30,N,81446.85,28185.48,147265.93,34836.86,182102.78999999998,114532.25,8279.27999999997,59291.26,E519,Entity E519,DVC-Academic,8450326,Cost Center 8450326,BG376,Budget Group BG376,A8164,Utilities,ACT860,Activity ACT860,F1-45,Future 1 F1-45,F2-19,Future 2 F2-19,Expense,General Ledger,81446.85,28185.48,17055.61,17277.74,E519-BG376-8450326-A8164-F1-45-F2-19
Apr,2024,Q2,4,Apr,Manpower,2024-04-05,N,86711.66,56186.67,195438.74,33992.24,229430.97999999998,169757.99,45456.72999999998,14216.26,E897,Entity E897,DVC-Academic,8450382,Cost Center 8450382,BG980,Budget Group BG980,A9787,Capital Expenditure,ACT979,Activity ACT979,F1-98,Future 1 F1-98,F2-95,Future 2 F2-95,Expense,General Ledger,86711.66,56186.67,2999.55,1604.56,E897-BG980-8450382-A9787-F1-98-F2-95
Sep,2025,Q3,9,Sep,Operational,2024-03-16,Y,31931.36,95006.2,480242.86,28671.89,508914.75,321551.28,103341.15999999997,84022.31,E198,Entity E198,VC Office,8450134,Cost Center 8450134,BG990,Budget Group BG990,A6588,Maintenance Costs,ACT583,Activity ACT583,F1-62,Future 1 F1-62,F2-32,Future 2 F2-32,Revenue,General Ledger,31931.36,95006.2,3403.94,27927.87,E198-BG990-8450134-A6588-F1-62-F2-32
Jul,2024,Q3,7,Jul,Manpower,2024-08-10,N,44153.05,88770.42,240366.01,5853.35,246219.36000000002,35207.32,50324.130000000005,160687.91,E591,Entity E591,DVC-Academic,8450362,Cost Center 8450362,BG329,Budget Group BG329,A2542,Office Supplies,ACT273,Activity ACT273,F1-22,Future 1 F1-22,F2-49,Future 2 F2-49,Revenue,General Ledger,44153.05,88770.42,24655.8,21187.27,E591-BG329-8450362-A2542-F1-22-F2-49
May,2024,Q2,5,May,Capital,2024-12-04,N,37427.08,37064.21,425119.83,47362.43,472482.26,465868.01,1631.219999999972,4983.03,E169,Entity E169,DVC-Academic,8450361,Cost Center 8450361,BG514,Budget Group BG514,A2810,Office Supplies,ACT544,Activity ACT544,F1-63,Future 1 F1-63,F2-48,Future 2 F2-48,Expense,Project Ledger,37427.08,37064.21,27190.63,3335.92,E169-BG514-8450361-A2810-F1-63-F2-48
Feb,2024,Q1,2,Feb,Manpower,2024-02-27,N,11881.79,11752.62,359684.12,37302.24,396986.36,231589.44,6256.539999999979,159140.38,E290,Entity E290,DVC-CEC,8450478,Cost Center 8450478,BG508,Budget Group BG508,A1823,Salary and Wages,ACT216,Activity ACT216,F1-15,Future 1 F1-15,F2-67,Future 2 F2-67,Revenue,General Ledger,11881.79,11752.62,29096.36,1294.8,E290-BG508-8450478-A1823-F1-15-F2-67
Jun,2023,Q2,6,Jun,Operational,2024-07-21,N,7379.66,55385.43,487721.01,26154.89,513875.9,323432.79,57942.570000000065,132500.54,E514,Entity E514,VC Office,8450110,Cost Center 8450110,BG472,Budget Group BG472,A9053,Capital Expenditure,ACT358,Activity ACT358,F1-25,Future 1 F1-25,F2-96,Future 2 F2-96,Expense,General Ledger,7379.66,55385.43,8428.9,28512.34,E514-BG472-8450110-A9053-F1-25-F2-96
Dec,2023,Q4,12,Dec,Capital,2024-01-08,N,18812.12,46369.84,241340.89,29182.81,270523.7,21029.06,6388.359999999986,243106.28,E803,Entity E803,DVC-Support Services,8450254,Cost Center 8450254,BG300,Budget Group BG300,A7132,Training and Development,ACT823,Activity ACT823,F1-86,Future 1 F1-86,F2-38,Future 2 F2-38,Expense,Project Ledger,18812.12,46369.84,2286.01,28215.95,E803-BG300-8450254-A7132-F1-86-F2-38
May,2025,Q2,5,May,Manpower,2024-01-10,N,87666.15,55158.79,165933.7,20562.76,186496.46000000002,145020.07,21552.370000000024,19924.02,E338,Entity E338,DVC-Support Services,8450286,Cost Center 8450286,BG878,Budget Group BG878,A8449,Utilities,ACT162,Activity ACT162,F1-98,Future 1 F1-98,F2-95,Future 2 F2-95,Expense,General Ledger,87666.15,55158.79,17072.44,1905.35,E338-BG878-8450286-A8449-F1-98-F2-95
Mar,2025,Q1,3,Mar,Operational,2024-11-06,N,69171.44,53434.63,399964.3,45658.29,445622.58999999997,260755.85,50631.149999999965,134235.59,E813,Entity E813,VC Office,8450192,Cost Center 8450192,BG244,Budget Group BG244,A8245,Utilities,ACT556,Activity ACT556,F1-10,Future 1 F1-10,F2-60,Future 2 F2-60,Expense,General Ledger,69171.44,53434.63,6216.83,26346.62,E813-BG244-8450192-A8245-F1-10-F2-60
Dec,2025,Q4,12,Dec,Capital,2024-03-12,Y,67157.32,52030.77,408927.36,26008.18,434935.54,370644.02,28808.589999999967,35482.93,E488,Entity E488,DVC-Academic,8450331,Cost Center 8450331,BG862,Budget Group BG862,A7544,Training and Development,ACT723,Activity ACT723,F1-56,Future 1 F1-56,F2-32,Future 2 F2-32,Expense,General Ledger,67157.32,52030.77,18609.29,21122.39,E488-BG862-8450331-A7544-F1-56-F2-32
Jul,2024,Q3,7,Jul,Operational,2024-07-10,N,98046.27,60808.78,354657.73,27740.78,382398.51,34799.06,95104.23999999999,252495.21,E348,Entity E348,DVC-Support Services,8450275,Cost Center 8450275,BG580,Budget Group BG580,A6115,Maintenance Costs,ACT641,Activity ACT641,F1-60,Future 1 F1-60,F2-90,Future 2 F2-90,Expense,General Ledger,98046.27,60808.78,4412.2,27797.63,E348-BG580-8450275-A6115-F1-60-F2-90
Jan,2023,Q1,1,Jan,Capital,2024-02-03,N,49261.81,32875.16,353360.34,12007.28,365367.62000000005,27718.0,294133.43000000005,43516.19,E282,Entity E282,DVC-CEC,8450445,Cost Center 8450445,BG194,Budget Group BG194,A7090,Training and Development,ACT473,Activity ACT473,F1-25,Future 1 F1-25,F2-17,Future 2 F2-17,Revenue,Project Ledger,49261.81,32875.16,20895.04,12349.84,E282-BG194-8450445-A7090-F1-25-F2-17
Nov,2023,Q4,11,Nov,Operational,2024-06-08,N,60193.54,22384.91,428716.25,17254.13,445970.38,155027.87,281689.18000000005,9253.33,E937,Entity E937,VC Office,8450110,Cost Center 8450110,BG744,Budget Group BG744,A7376,Training and Development,ACT623,Activity ACT623,F1-55,Future 1 F1-55,F2-43,Future 2 F2-43,Expense,Project Ledger,60193.54,22384.91,9902.99,9647.48,E937-BG744-8450110-A7376-F1-55-F2-43
Sep,2025,Q3,9,Sep,Operational,2024-04-30,N,8175.9,87357.86,468348.96,3053.9,471402.86000000004,130520.92,66062.48000000004,274819.46,E724,Entity E724,DVC-CEC,8450464,Cost Center 8450464,BG352,Budget Group BG352,A6811,Maintenance Costs,ACT818,Activity ACT818,F1-56,Future 1 F1-56,F2-65,Future 2 F2-65,Revenue,Project Ledger,8175.9,87357.86,18547.64,11067.41,E724-BG352-8450464-A6811-F1-56-F2-65
Oct,2024,Q4,10,Oct,Operational,2024-07-05,N,13311.69,68716.55,437776.27,37480.81,475257.08,14482.11,61184.01000000001,399590.96,E905,Entity E905,DVC-Academic,8450336,Cost Center 8450336,BG982,Budget Group BG982,A4086,Travel Expenses,ACT291,Activity ACT291,F1-98,Future 1 F1-98,F2-37,Future 2 F2-37,Revenue,General Ledger,13311.69,68716.55,9662.37,6343.44,E905-BG982-8450336-A4086-F1-98-F2-37
Dec,2023,Q4,12,Dec,Capital,2024-05-24,Y,59359.25,67910.23,415668.5,24922.11,440590.61,38296.26,186219.41999999998,216074.93,E133,Entity E133,DVC-Support Services,8450220,Cost Center 8450220,BG875,Budget Group BG875,A7891,Training and Development,ACT694,Activity ACT694,F1-51,Future 1 F1-51,F2-50,Future 2 F2-50,Expense,Project Ledger,59359.25,67910.23,26989.42,18226.66,E133-BG875-8450220-A7891-F1-51-F2-50
Aug,2025,Q3,8,Aug,Capital,2024-12-30,N,60577.48,23722.68,140712.99,7642.96,148355.94999999998,36489.29,93891.76999999999,17974.89,E942,Entity E942,DVC-CEC,8450427,Cost Center 8450427,BG449,Budget Group BG449,A4735,Travel Expenses,ACT922,Activity ACT922,F1-18,Future 1 F1-18,F2-12,Future 2 F2-12,Expense,General Ledger,60577.48,23722.68,12311.9,29471.36,E942-BG449-8450427-A4735-F1-18-F2-12
Jun,2024,Q2,6,Jun,Manpower,2024-08-07,Y,86550.71,81707.21,203161.13,8544.38,211705.51,141555.45,4954.279999999999,65195.78,E946,Entity E946,DVC-Academic,8450312,Cost Center 8450312,BG491,Budget Group BG491,A7316,Training and Development,ACT399,Activity ACT399,F1-14,Future 1 F1-14,F2-79,Future 2 F2-79,Revenue,Project Ledger,86550.71,81707.21,21328.57,5985.21,E946-BG491-8450312-A7316-F1-14-F2-79
Dec,2025,Q4,12,Dec,Manpower,2024-01-01,N,76777.95,8729.02,302441.58,46600.72,349042.30000000005,111917.69,96300.31000000006,140824.3,E789,Entity E789,VC Office,8450119,Cost Center 8450119,BG360,Budget Group BG360,A7038,Training and Development,ACT749,Activity ACT749,F1-53,Future 1 F1-53,F2-11,Future 2 F2-11,Expense,Project Ledger,76777.95,8729.02,24296.23,7639.22,E789-BG360-8450119-A7038-F1-53-F2-11
Sep,2023,Q3,9,Sep,Manpower,2024-09-21,Y,47316.62,60610.19,417715.78,5334.96,423050.74000000005,359900.88,16041.670000000042,47108.19,E433,Entity E433,DVC-CEC,8450482,Cost Center 8450482,BG475,Budget Group BG475,A4530,Travel Expenses,ACT236,Activity ACT236,F1-43,Future 1 F1-43,F2-85,Future 2 F2-85,Expense,General Ledger,47316.62,60610.19,27793.48,21647.9,E433-BG475-8450482-A4530-F1-43-F2-85
Aug,2025,Q3,8,Aug,Manpower,2024-12-26,Y,20162.73,16365.59,165706.32,40728.74,206435.06,137320.03,32963.350000000006,36151.68,E231,Entity E231,VC Office,8450198,Cost Center 8450198,BG848,Budget Group BG848,A2065,Office Supplies,ACT188,Activity ACT188,F1-27,Future 1 F1-27,F2-49,Future 2 F2-49,Revenue,General Ledger,20162.73,16365.59,21413.47,26990.02,E231-BG848-8450198-A2065-F1-27-F2-49
Jun,2023,Q2,6,Jun,Capital,2024-01-23,Y,50272.04,23221.27,459829.83,19194.56,479024.39,260375.08,20449.810000000056,198199.5,E138,Entity E138,,8450307,Cost Center 8450307,BG745,Budget Group BG745,A2202,Office Supplies,ACT653,Activity ACT653,F1-73,Future 1 F1-73,F2-24,Future 2 F2-24,Expense,General Ledger,50272.04,23221.27,14862.71,22243.83,E138-BG745-8450307-A2202-F1-73-F2-24
Apr,2023,Q2,4,Apr,Manpower,2024-02-07,Y,31172.21,24848.91,397578.52,1676.62,399255.14,227531.39,40791.48999999999,130932.26,E734,Entity E734,DVC-CEC,8450439,Cost Center 8450439,BG964,Budget Group BG964,A7028,Training and Development,ACT258,Activity ACT258,F1-56,Future 1 F1-56,F2-97,Future 2 F2-97,Revenue,Project Ledger,31172.21,24848.91,15068.65,16195.82,E734-BG964-8450439-A7028-F1-56-F2-97
Apr,2023,Q2,4,Apr,Manpower,2024-05-09,Y,64114.76,69394.84,317089.78,12589.95,329679.73000000004,113968.96,176538.19000000003,39172.58,E941,Entity E941,DVC-CEC,8450469,Cost Center 8450469,BG649,Budget Group BG649,A7166,Training and Development,ACT914,Activity ACT914,F1-55,Future 1 F1-55,F2-21,Future 2 F2-21,Revenue,General Ledger,64114.76,69394.84,4173.49,3023.84,E941-BG649-8450469-A7166-F1-55-F2-21
Aug,2025,Q3,8,Aug,Operational,2024-12-21,N,69665.08,92249.94,382895.45,7626.95,390522.4,225053.51,65076.42000000004,100392.47,E150,Entity E150,VC Office,8450138,Cost Center 8450138,BG561,Budget Group BG561,A4368,Travel Expenses,ACT825,Activity ACT825,F1-20,Future 1 F1-20,F2-32,Future 2 F2-32,Expense,Project Ledger,69665.08,92249.94,7077.18,4965.62,E150-BG561-8450138-A4368-F1-20-F2-32
Jul,2023,Q3,7,Jul,Capital,2024-01-01,Y,31144.43,22739.56,343157.76,18965.28,362123.04000000004,269509.95,73573.71000000002,19039.38,E412,Entity E412,DVC-Support Services,8450226,Cost Center 8450226,BG765,Budget Group BG765,A8970,Utilities,ACT674,Activity ACT674,F1-34,Future 1 F1-34,F2-84,Future 2 F2-84,Revenue,Project Ledger,31144.43,22739.56,13971.0,14425.11,E412-BG765-8450226-A8970-F1-34-F2-84
Jan,2025,Q1,1,Jan,Capital,2024-12-29,Y,14085.7,17638.7,299347.11,20946.27,320293.38,293019.09,17390.25,9884.04,E162,Entity E162,DVC-Support Services,8450259,Cost Center 8450259,BG765,Budget Group BG765,A6588,Maintenance Costs,ACT148,Activity ACT148,F1-80,Future 1 F1-80,F2-90,Future 2 F2-90,Revenue,General Ledger,14085.7,17638.7,4459.88,12438.72,E162-BG765-8450259-A6588-F1-80-F2-90
Aug,2023,Q3,8,Aug,Manpower,2024-11-22,Y,30993.69,39731.81,270715.56,39989.1,310704.66,108556.17,107496.12999999998,94652.36,E404,Entity E404,DVC-Academic,8450395,Cost Center 8450395,BG243,Budget Group BG243,A8186,Utilities,ACT117,Activity ACT117,F1-10,Future 1 F1-10,F2-87,Future 2 F2-87,Expense,General Ledger,30993.69,39731.81,15829.43,16033.68,E404-BG243-8450395-A8186-F1-10-F2-87
Feb,2024,Q1,2,Feb,Capital,2024-06-14,Y,15524.02,18192.81,444714.25,47305.77,492020.02,183675.66,224861.77000000002,83482.59,E977,Entity E977,DVC-Support Services,8450271,Cost Center 8450271,BG479,Budget Group BG479,A1054,Salary and Wages,ACT575,Activity ACT575,F1-41,Future 1 F1-41,F2-59,Future 2 F2-59,Expense,General Ledger,15524.02,18192.81,12239.53,16551.68,E977-BG479-8450271-A1054-F1-41-F2-59
Aug,2025,Q3,8,Aug,Capital,2024-09-11,Y,59504.9,33927.12,327777.41,44373.02,372150.43,207184.18,46056.419999999984,118909.83,E902,Entity E902,,8450205,Cost Center 8450205,BG187,Budget Group BG187,A3538,IT Equipment,ACT551,Activity ACT551,F1-46,Future 1 F1-46,F2-63,Future 2 F2-63,Expense,Project Ledger,59504.9,33927.12,8794.43,26890.07,E902-BG187-8450205-A3538-F1-46-F2-63
Oct,2025,Q4,10,Oct,Manpower,2024-06-09,Y,84812.81,12277.69,450577.63,32146.28,482723.91000000003,339811.63,12772.930000000051,130139.35,E808,Entity E808,VC Office,8450120,Cost Center 8450120,BG845,Budget Group BG845,A2409,Office Supplies,ACT806,Activity ACT806,F1-96,Future 1 F1-96,F2-21,Future 2 F2-21,Revenue,General Ledger,84812.81,12277.69,10355.76,23215.04,E808-BG845-8450120-A2409-F1-96-F2-21
Feb,2023,Q1,2,Feb,Operational,2024-12-20,N,97454.73,77975.88,145695.17,28288.83,173984.0,171438.15,1346.5899999999965,1199.26,E835,Entity E835,DVC-Academic,8450318,Cost Center 8450318,BG981,Budget Group BG981,A4186,Travel Expenses,ACT308,Activity ACT308,F1-23,Future 1 F1-23,F2-18,Future 2 F2-18,Revenue,Project Ledger,97454.73,77975.88,19004.35,7736.63,E835-BG981-8450318-A4186-F1-23-F2-18
Jun,2025,Q2,6,Jun,Manpower,2024-01-04,N,52569.02,17167.93,208922.93,919.53,209842.46,191858.71,15866.140000000014,2117.61,E455,Entity E455,VC Office,8450150,Cost Center 8450150,BG133,Budget Group BG133,A8184,Utilities,ACT776,Activity ACT776,F1-34,Future 1 F1-34,F2-85,Future 2 F2-85,Expense,General Ledger,52569.02,17167.93,329.87,4106.57,E455-BG133-8450150-A8184-F1-34-F2-85
Jun,2025,Q2,6,Jun,Capital,2024-06-16,N,60051.69,66503.67,170148.51,45720.6,215869.11000000002,90399.62,77397.29000000001,48072.2,E733,Entity E733,VC Office,8450155,Cost Center 8450155,BG675,Budget Group BG675,A5225,Consultancy Services,ACT921,Activity ACT921,F1-74,Future 1 F1-74,F2-60,Future 2 F2-60,Expense,Project Ledger,60051.69,66503.67,23129.58,2047.49,E733-BG675-8450155-A5225-F1-74-F2-60
