PO Number,Unique ID,Department,Account No.,Activity Detailed Description,Purchase Type,Supplier,Item Category,Total Approved,Actual Spent,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
PO-000017,ECAE-PP-2025-1017,Information Technology,414814,IT Manpower Service,Regular,Emirates Services,8011.1600 - Outsourcing Services,187080.26,187080.26,23596.79,2235.6,26507.37,25858.31,14733.85,17474.0,22244.09,21101.04,515.59,3817.54,5069.58,23562.01
PO-000018,ECAE-PP-2025-1018,Finance,414950,Utilities,Framework,Emirates Services,8015.4400 - Utilities,125906.35,125906.35,6359.85,5227.19,15790.46,713.28,15284.9,17281.98,1385.89,1297.82,5990.28,4371.19,12194.74,14173.94
PO-000019,ECAE-PP-2025-1019,HR,418688,Utilities,Regular,Emirates Services,8015.4400 - Utilities,146680.30000000002,146680.30000000002,9198.96,14952.47,4101.03,18857.27,14063.05,6579.99,12251.54,23536.78,500.95,4877.67,10961.42,15607.75
PO-000020,ECAE-PP-2025-1020,Facilities,416935,Utilities,Urgent,Emirates Services,8015.4400 - Utilities,213355.17,213355.17,10142.87,34255.81,6578.53,28667.7,16544.35,15779.74,26581.84,5264.13,16581.11,1274.22,23839.13,2075.85
PO-000021,ECAE-PP-2025-1021,Finance,411724,Training Service,Urgent,ABC Corp,8012.1100 - Training Services,58172.060000000005,58172.060000000005,860.4,2372.0,8821.41,4480.02,8649.27,1609.42,1990.86,3420.76,3551.65,7225.72,5811.49,5363.94
PO-000022,ECAE-PP-2025-1022,HR,414766,Consulting Service,Regular,GWA,8014.3300 - Consulting,200602.32,200602.32,27106.11,16560.9,19419.38,27647.08,10451.17,1677.66,16134.99,30548.96,26428.29,12257.38,2165.55,21294.59
PO-000023,ECAE-PP-2025-1023,Information Technology,417693,Maintenance Contract,Framework,NextGen Solutions,8013.2200 - Maintenance Services,249447.2,249447.2,40393.74,32676.46,15327.33,29682.07,38721.25,22403.83,19204.95,22990.44,12951.72,37722.6,33146.62,29330.17
PO-000024,ECAE-PP-2025-1024,Finance,413798,Consulting Service,Urgent,NextGen Solutions,8014.3300 - Consulting,211399.41,211399.41,760.11,23708.17,21439.91,22781.04,7690.92,7987.99,15172.91,3377.38,2628.86,3113.19,20187.91,14013.73
PO-000025,ECAE-PP-2025-1025,Finance,412225,Maintenance Contract,Regular,GWA,8013.2200 - Maintenance Services,78790.04999999999,78790.04999999999,1828.18,2315.31,3311.19,3214.79,4081.96,7559.0,369.95,5019.88,3235.45,7966.07,12936.92,6797.67
PO-000026,ECAE-PP-2025-1026,Finance,417074,Training Service,Framework,NextGen Solutions,8012.1100 - Training Services,253531.2,253531.2,35282.25,35799.64,17433.41,37574.51,30406.01,35450.88,41798.48,4919.13,15658.92,34080.81,3646.77,22850.81
PO-000027,ECAE-PP-2025-1027,Academic Services,418305,Consulting Service,Regular,ABC Corp,8014.3300 - Consulting,195901.76,195901.76,1946.68,20478.55,6703.22,17217.52,25458.76,8055.7,12843.3,31042.86,24862.57,18699.58,7248.28,13886.35
PO-000028,ECAE-PP-2025-1028,Information Technology,411772,Consulting Service,Urgent,GWA,8014.3300 - Consulting,86454.21,86454.21,3882.87,5311.34,13236.62,12943.56,2313.05,11949.0,4288.24,7835.68,73.46,14388.72,10966.67,3483.14
PO-000029,ECAE-PP-2025-1029,Information Technology,417053,Consulting Service,Regular,NextGen Solutions,8014.3300 - Consulting,68323.62000000001,68323.62000000001,235.05,3699.24,4538.75,7239.36,10592.12,2316.01,7826.85,1109.13,2170.66,5797.65,8066.49,9776.75
PO-000030,ECAE-PP-2025-1030,HR,412143,Training Service,Urgent,GlobalTech,8012.1100 - Training Services,119972.95,119972.95,2064.54,3139.87,17839.81,2383.06,7624.01,14659.54,15826.27,19089.08,15787.92,16886.84,18983.24,11071.26
PO-000031,ECAE-PP-2025-1031,Facilities,416181,Consulting Service,Regular,ABC Corp,8014.3300 - Consulting,216079.6,216079.6,6436.33,16963.23,33621.78,12319.18,22647.79,435.18,25610.0,21718.46,25763.7,32579.78,5275.91,9420.7
PO-000032,ECAE-PP-2025-1032,Facilities,411746,IT Manpower Service,Urgent,NextGen Solutions,8011.1600 - Outsourcing Services,74156.22,74156.22,12225.66,2411.47,9956.83,1184.48,4368.38,3012.75,12073.08,318.01,8919.38,3061.69,10026.52,3846.54
PO-000033,ECAE-PP-2025-1033,Facilities,413342,Training Service,Urgent,GWA,8012.1100 - Training Services,80383.7,80383.7,8138.65,12464.17,2022.73,8753.07,5101.26,5369.82,6723.09,3132.08,6178.6,9201.87,6124.07,569.5
PO-000034,ECAE-PP-2025-1034,Finance,411290,Maintenance Contract,Regular,Emirates Services,8013.2200 - Maintenance Services,110097.77,110097.77,13605.51,10728.9,5065.77,9332.76,4622.84,16568.11,14062.89,9046.48,17715.78,10032.76,6028.5,1751.79
PO-000035,ECAE-PP-2025-1035,Finance,412625,Consulting Service,Regular,Emirates Services,8014.3300 - Consulting,200660.57,200660.57,1216.99,26041.63,23978.47,13671.75,28289.7,17883.51,2180.79,8675.44,15443.27,3459.7,19098.91,4032.21
PO-000036,ECAE-PP-2025-1036,Finance,418393,IT Manpower Service,Regular,NextGen Solutions,8011.1600 - Outsourcing Services,213409.02,213409.02,13628.11,11391.95,35272.01,20999.44,25278.98,18720.46,27386.52,26749.85,23373.48,35487.89,16354.01,25117.97
PO-000037,ECAE-PP-2025-1037,Information Technology,419541,Utilities,Framework,GWA,8015.4400 - Utilities,225550.31000000003,225550.31000000003,24721.16,30881.71,29790.57,29394.87,3332.04,3001.58,11532.01,1351.34,18812.01,14840.54,20939.56,11231.97
PO-000038,ECAE-PP-2025-1038,Academic Services,416414,Utilities,Urgent,GWA,8015.4400 - Utilities,191271.81,191271.81,1806.74,3499.61,25903.39,7426.17,11334.93,4631.88,6221.18,24719.24,8347.73,14314.62,4835.08,21611.48
PO-000039,ECAE-PP-2025-1039,Finance,412456,Maintenance Contract,Framework,GlobalTech,8013.2200 - Maintenance Services,64002.810000000005,64002.810000000005,7180.45,4672.74,3401.85,4391.66,9725.79,1751.24,2650.78,6466.32,1240.39,9513.64,503.88,8057.02
PO-000040,ECAE-PP-2025-1040,HR,419013,Consulting Service,Regular,GlobalTech,8014.3300 - Consulting,114482.47,114482.47,478.87,4485.03,6354.63,11954.43,2513.36,8344.44,3897.43,16319.54,857.98,6791.44,12046.88,17422.1
PO-000041,ECAE-PP-2025-1041,HR,419571,Maintenance Contract,Regular,GWA,8013.2200 - Maintenance Services,59533.12,59533.12,3531.57,7865.68,6287.08,6843.89,2292.37,9620.31,6550.39,1956.61,7446.5,1723.62,628.92,5234.48
PO-000042,ECAE-PP-2025-1042,HR,414155,Consulting Service,Framework,NextGen Solutions,8014.3300 - Consulting,100112.01,100112.01,7897.52,7475.8,3072.67,10179.21,12091.94,2456.41,12632.88,11682.43,3292.73,10827.91,6568.54,11365.01
PO-000043,ECAE-PP-2025-1043,Academic Services,419998,Maintenance Contract,Regular,Emirates Services,8013.2200 - Maintenance Services,138718.58,138718.58,18863.97,12951.52,22830.03,8634.97,15853.67,14399.47,14740.74,17038.8,3216.15,12707.64,11770.96,7919.21
PO-000044,ECAE-PP-2025-1044,Finance,414112,Training Service,Urgent,GWA,8012.1100 - Training Services,153533.77000000002,153533.77000000002,5873.09,13564.81,3471.41,20406.79,17401.22,19716.52,10206.88,21366.87,12629.38,2423.25,5732.68,18195.1
PO-000045,ECAE-PP-2025-1045,Finance,414900,Training Service,Framework,NextGen Solutions,8012.1100 - Training Services,93658.14,93658.14,14194.48,6615.7,14995.35,3332.72,15569.48,10889.02,12119.26,6194.88,14158.12,8514.51,10629.24,1479.93
PO-000046,ECAE-PP-2025-1046,Finance,418808,Consulting Service,Urgent,NextGen Solutions,8014.3300 - Consulting,243667.02,243667.02,19594.33,11037.27,19222.85,742.19,2096.03,648.8,25143.67,22746.03,9468.82,26260.93,35908.69,11262.37
PO-000047,ECAE-PP-2025-1047,Information Technology,416892,Training Service,Regular,NextGen Solutions,8012.1100 - Training Services,214395.54,214395.54,3466.96,6480.74,17423.49,17676.75,27432.58,25948.17,7192.01,21259.34,736.87,14241.13,27303.46,14275.48
PO-000048,ECAE-PP-2025-1048,Academic Services,411091,Training Service,Framework,Emirates Services,8012.1100 - Training Services,87700.1,87700.1,5440.41,13880.7,7501.37,1056.29,9296.93,11391.57,2346.02,6563.73,10863.07,299.55,423.44,9894.21
PO-000049,ECAE-PP-2025-1049,Facilities,411710,IT Manpower Service,Regular,GlobalTech,8011.1600 - Outsourcing Services,204285.23,204285.23,30799.52,7641.18,23303.88,4827.41,12049.65,10935.21,31903.54,14571.74,23508.67,20512.38,4801.73,31989.04
PO-000050,ECAE-PP-2025-1050,Academic Services,413198,Utilities,Urgent,ABC Corp,8015.4400 - Utilities,213260.6,213260.6,23434.89,25441.43,6099.55,3970.64,5423.12,8772.77,5979.55,23956.25,14957.86,19114.96,1682.51,30611.75
PO-000051,ECAE-PP-2025-1051,Academic Services,416562,Training Service,Urgent,ABC Corp,8012.1100 - Training Services,222634.56000000003,222634.56000000003,3667.89,20339.71,11684.24,19444.36,7648.21,31101.03,37094.52,11963.03,31255.21,32392.81,36960.07,12716.89
PO-000052,ECAE-PP-2025-1052,Facilities,419726,Training Service,Regular,NextGen Solutions,8012.1100 - Training Services,98408.94,98408.94,830.63,6371.08,437.71,14829.31,330.4,485.7,2711.62,10283.98,8882.29,10816.57,14655.64,7461.79
PO-000053,ECAE-PP-2025-1053,Academic Services,418237,Consulting Service,Regular,Emirates Services,8014.3300 - Consulting,201642.46,201642.46,15784.7,8057.23,31765.15,24702.5,21512.8,25051.18,2553.53,2272.72,5145.94,4955.4,14137.5,5289.89
PO-000054,ECAE-PP-2025-1054,Finance,418786,Consulting Service,Urgent,ABC Corp,8014.3300 - Consulting,131713.93999999997,131713.93999999997,622.06,10748.97,20908.03,5549.65,5842.72,13832.66,20332.04,4362.85,20232.38,14554.47,21799.7,16166.98
PO-000055,ECAE-PP-2025-1055,HR,419088,Consulting Service,Framework,GWA,8014.3300 - Consulting,198780.7,198780.7,9942.09,24556.5,7577.03,30215.33,17717.38,9943.17,25712.28,10347.22,31913.52,32566.55,22091.04,3764.7
PO-000056,ECAE-PP-2025-1056,Information Technology,411577,Consulting Service,Framework,Emirates Services,8014.3300 - Consulting,217787.37,217787.37,32786.61,14911.32,35532.32,13067.93,27470.41,11085.49,3847.23,30238.2,27680.1,29787.11,10878.28,25541.44
PO-000057,ECAE-PP-2025-1057,Information Technology,417463,Consulting Service,Regular,Emirates Services,8014.3300 - Consulting,136144.6,136144.6,18726.15,18805.99,9460.45,16502.84,10148.17,16783.44,22558.94,5956.24,14387.14,8619.72,12442.97,19835.07
PO-000058,ECAE-PP-2025-1058,HR,413600,IT Manpower Service,Regular,NextGen Solutions,8011.1600 - Outsourcing Services,57725.03999999999,57725.03999999999,5486.07,789.35,1185.7,108.77,6477.56,2544.27,9302.65,2967.6,3498.31,4516.89,3070.4,7864.49
PO-000059,ECAE-PP-2025-1059,Facilities,417842,Maintenance Contract,Regular,GlobalTech,8013.2200 - Maintenance Services,89467.61,89467.61,12623.57,13553.91,13780.04,11396.83,11065.39,222.13,13721.22,5241.39,613.18,6158.05,10927.76,6590.11
PO-000060,ECAE-PP-2025-1060,Information Technology,411488,Utilities,Regular,NextGen Solutions,8015.4400 - Utilities,115688.19,115688.19,13649.38,12948.7,2365.41,4601.33,18251.27,5864.96,498.07,1229.81,14952.6,14599.0,7362.15,2953.92
PO-000061,ECAE-PP-2025-1061,Finance,411301,Consulting Service,Regular,NextGen Solutions,8014.3300 - Consulting,142616.82,142616.82,3470.7,11058.57,6017.22,5314.65,22764.62,8605.13,1103.64,23064.15,18892.92,6047.27,9719.14,20496.17
PO-000062,ECAE-PP-2025-1062,Finance,418225,Consulting Service,Regular,GlobalTech,8014.3300 - Consulting,60533.76,60533.76,6292.4,6901.54,6422.84,7698.64,9519.28,8682.74,4222.33,2194.78,3146.26,5929.7,8638.25,7079.67
PO-000063,ECAE-PP-2025-1063,Facilities,412100,IT Manpower Service,Framework,GWA,8011.1600 - Outsourcing Services,206602.02,206602.02,6767.81,21167.66,34216.47,12578.18,19020.44,11289.24,30196.56,29771.44,6155.82,30988.54,5217.0,3286.35
PO-000064,ECAE-PP-2025-1064,HR,418321,Consulting Service,Framework,GWA,8014.3300 - Consulting,107808.76,107808.76,13114.89,6701.54,2710.35,17575.55,10502.3,3456.29,12248.03,1653.94,15597.0,1619.6,4243.97,1642.84
PO-000065,ECAE-PP-2025-1065,Information Technology,412342,Consulting Service,Framework,Emirates Services,8014.3300 - Consulting,233284.34,233284.34,22855.84,33669.96,25393.49,31136.82,34800.62,29197.52,27878.16,37510.02,33580.68,31702.48,3359.43,9293.65
PO-000066,ECAE-PP-2025-1066,Information Technology,419877,Consulting Service,Framework,GlobalTech,8014.3300 - Consulting,191885.86,191885.86,12018.75,21305.62,11459.53,650.62,14040.44,7168.6,921.28,15058.02,6586.63,14479.13,8882.72,19307.2
PO-000067,ECAE-PP-2025-1067,Academic Services,418102,Training Service,Framework,GWA,8012.1100 - Training Services,162418.84999999998,162418.84999999998,23100.92,2059.85,24380.56,25701.01,26801.89,21913.29,3840.0,19115.81,5503.87,24285.08,8570.46,8846.3
PO-000068,ECAE-PP-2025-1068,Information Technology,418317,Utilities,Urgent,ABC Corp,8015.4400 - Utilities,193095.63,193095.63,16577.57,4699.51,4768.79,19585.3,26757.35,24063.3,21099.8,5538.89,3486.66,7.98,3275.99,24663.67
PO-000069,ECAE-PP-2025-1069,Facilities,418061,Utilities,Urgent,NextGen Solutions,8015.4400 - Utilities,241857.26,241857.26,16344.3,12474.45,20748.34,15236.94,39114.96,32543.93,37527.27,22469.63,27343.56,6718.65,30344.45,9511.89
PO-000070,ECAE-PP-2025-1070,Information Technology,413887,IT Manpower Service,Regular,Emirates Services,8011.1600 - Outsourcing Services,101279.17,101279.17,11138.03,9482.83,7035.95,11328.16,6874.8,9251.86,9955.77,4512.92,5734.7,304.68,14384.33,12760.89
PO-000071,ECAE-PP-2025-1071,Facilities,411325,Consulting Service,Urgent,GWA,8014.3300 - Consulting,200427.31000000003,200427.31000000003,14034.92,10179.43,3125.29,3819.17,9958.94,27452.16,4497.18,24807.55,9649.56,29511.75,14308.12,5736.34
PO-000072,ECAE-PP-2025-1072,Academic Services,413655,IT Manpower Service,Regular,NextGen Solutions,8011.1600 - Outsourcing Services,119181.35,119181.35,1930.46,15204.68,7564.29,3780.93,9599.01,18388.07,3403.76,16858.18,8307.04,2717.37,16851.89,19260.11
PO-000073,ECAE-PP-2025-1073,HR,414217,Consulting Service,Regular,Emirates Services,8014.3300 - Consulting,165831.67,165831.67,25353.84,26201.02,7532.92,25220.58,20368.7,4262.28,16867.02,727.86,19578.59,20274.79,21816.22,4768.35
PO-000074,ECAE-PP-2025-1074,Academic Services,411036,Training Service,Regular,Emirates Services,8012.1100 - Training Services,182225.43,182225.43,5374.44,16512.97,29089.24,19079.68,1518.35,30029.6,4764.17,21808.41,16173.42,8940.0,5385.08,5396.98
PO-000075,ECAE-PP-2025-1075,Academic Services,412780,IT Manpower Service,Framework,ABC Corp,8011.1600 - Outsourcing Services,135899.62000000002,135899.62000000002,20796.18,14260.3,7119.07,8310.67,11175.1,15246.35,13186.34,21125.55,14173.17,20629.38,122.99,20171.12
PO-000076,ECAE-PP-2025-1076,Information Technology,414815,Maintenance Contract,Urgent,GWA,8013.2200 - Maintenance Services,155900.84,155900.84,4367.12,7109.65,16942.18,17028.53,12817.72,20672.07,12525.46,22899.81,19121.33,8176.87,10270.07,17348.82
PO-000077,ECAE-PP-2025-1077,Information Technology,417943,Training Service,Framework,GWA,8012.1100 - Training Services,178750.96,178750.96,6453.87,22311.04,27598.27,2722.06,12334.52,27390.9,6041.41,27818.44,15706.01,2976.0,13402.67,9719.92
PO-000078,ECAE-PP-2025-1078,Information Technology,411436,Consulting Service,Urgent,GWA,8014.3300 - Consulting,119649.61,119649.61,18171.7,15169.47,2138.78,13993.56,399.3,553.56,10485.76,1915.14,19230.41,17824.43,12958.29,1270.46
PO-000079,ECAE-PP-2025-1079,Information Technology,417029,IT Manpower Service,Urgent,GlobalTech,8011.1600 - Outsourcing Services,146100.07,146100.07,22279.24,20235.27,17695.86,3082.27,16219.27,16897.12,18587.16,6407.28,15591.25,15055.09,9382.3,16156.4
PO-000080,ECAE-PP-2025-1080,Finance,419421,Consulting Service,Framework,Emirates Services,8014.3300 - Consulting,79026.28,79026.28,10023.28,12771.47,6291.33,81.07,7853.46,8613.42,10905.87,2626.4,6905.94,5889.19,8751.38,842.2
PO-000081,ECAE-PP-2025-1081,Facilities,412663,IT Manpower Service,Framework,NextGen Solutions,8011.1600 - Outsourcing Services,178787.75,178787.75,9221.78,5202.07,18478.83,23264.64,15296.69,23703.47,381.81,24448.52,5314.77,13734.95,13188.15,26018.25
PO-000082,ECAE-PP-2025-1082,HR,417266,Consulting Service,Urgent,GWA,8014.3300 - Consulting,199709.03,199709.03,5615.88,24375.12,8179.66,14143.38,33153.76,3347.68,29335.9,31489.12,23240.38,331.59,27320.15,29366.28
PO-000083,ECAE-PP-2025-1083,Facilities,417211,Training Service,Framework,GlobalTech,8012.1100 - Training Services,180681.95,180681.95,20542.18,17773.74,18952.05,10329.34,12910.58,16806.33,25273.89,22973.98,3573.16,7394.54,802.76,239.72
PO-000084,ECAE-PP-2025-1084,Facilities,414143,Consulting Service,Regular,Emirates Services,8014.3300 - Consulting,51526.17,51526.17,2131.17,422.04,5294.68,6101.5,2647.44,7332.62,3888.62,8573.8,3.43,940.26,2591.71,219.05
PO-000085,ECAE-PP-2025-1085,Finance,415667,Consulting Service,Urgent,NextGen Solutions,8014.3300 - Consulting,64009.01,64009.01,2835.56,7004.16,4165.78,1450.0,714.39,8404.84,7210.73,4393.13,9561.11,4383.09,7577.55,9698.59
PO-000086,ECAE-PP-2025-1086,Information Technology,413051,Training Service,Framework,GlobalTech,8012.1100 - Training Services,211473.45,211473.45,31935.48,14842.45,4046.94,29571.02,12041.44,4715.36,21662.51,20374.9,16715.08,30304.05,9594.76,466.48
PO-000087,ECAE-PP-2025-1087,Information Technology,413341,IT Manpower Service,Regular,GWA,8011.1600 - Outsourcing Services,131257.41,131257.41,16911.35,7231.41,20392.52,11197.8,18531.94,13473.41,12132.6,14922.44,17752.37,14099.4,17440.62,4166.66
PO-000088,ECAE-PP-2025-1088,Academic Services,413760,Consulting Service,Urgent,GWA,8014.3300 - Consulting,119398.6,119398.6,1148.77,2255.46,3057.52,19698.43,6855.37,5810.2,1040.09,12642.73,12978.44,3491.39,18292.69,15929.63
PO-000089,ECAE-PP-2025-1089,Finance,417760,Training Service,Framework,GlobalTech,8012.1100 - Training Services,55746.58,55746.58,5977.11,4714.0,2034.95,2598.04,2951.86,353.23,8483.6,8364.8,1001.37,5172.29,4344.9,6349.67
PO-000090,ECAE-PP-2025-1090,Information Technology,414506,Utilities,Framework,GWA,8015.4400 - Utilities,139579.67,139579.67,18145.84,4516.12,16243.81,19902.44,22314.47,11032.55,22591.18,9575.68,5074.37,11955.51,15117.02,10653.73
PO-000091,ECAE-PP-2025-1091,Information Technology,414240,Maintenance Contract,Urgent,ABC Corp,8013.2200 - Maintenance Services,123841.03,123841.03,13589.27,7953.38,17987.47,10658.69,6095.93,14879.27,12879.81,16503.77,13283.77,3447.19,13835.31,8081.64
PO-000092,ECAE-PP-2025-1092,Facilities,416548,Training Service,Regular,Emirates Services,8012.1100 - Training Services,52125.880000000005,52125.880000000005,257.89,2567.94,7052.26,7997.24,3581.91,7721.53,1728.23,1923.68,7351.41,7847.18,1935.66,515.39
PO-000093,ECAE-PP-2025-1093,Academic Services,417846,IT Manpower Service,Urgent,ABC Corp,8011.1600 - Outsourcing Services,174632.44999999998,174632.44999999998,18483.89,25424.09,24148.63,22294.67,1141.62,15031.99,9550.89,3287.14,9982.87,18767.26,6712.48,12940.13
PO-000094,ECAE-PP-2025-1094,Information Technology,412113,Maintenance Contract,Urgent,Emirates Services,8013.2200 - Maintenance Services,139122.4,139122.4,27.09,2561.03,16321.12,15825.07,7478.54,10967.63,6895.33,16947.81,19535.09,20847.61,4031.57,16115.4
PO-000095,ECAE-PP-2025-1095,Finance,419587,Maintenance Contract,Urgent,GlobalTech,8013.2200 - Maintenance Services,199410.6,199410.6,32232.24,417.58,11924.59,2539.25,20637.93,11283.31,24359.46,16164.82,13938.91,11582.98,2862.51,6807.37
PO-000096,ECAE-PP-2025-1096,HR,419663,Training Service,Urgent,NextGen Solutions,8012.1100 - Training Services,56369.68,56369.68,4865.76,7560.16,6621.59,2290.26,4981.75,5223.58,4239.3,1683.51,2098.54,2640.43,96.35,8614.64
PO-000097,ECAE-PP-2025-1097,Finance,417251,Utilities,Framework,NextGen Solutions,8015.4400 - Utilities,131282.58000000002,131282.58000000002,19741.98,119.54,6524.56,2930.32,9933.41,10840.65,5599.29,15829.32,5902.68,18683.51,3887.26,8035.27
PO-000098,ECAE-PP-2025-1098,Facilities,412973,Consulting Service,Regular,ABC Corp,8014.3300 - Consulting,54239.600000000006,54239.600000000006,960.27,2978.14,1711.77,209.28,1564.28,1822.25,1500.45,823.51,4757.76,2916.64,8210.51,1692.4
PO-000099,ECAE-PP-2025-1099,HR,411686,Maintenance Contract,Regular,Emirates Services,8013.2200 - Maintenance Services,191307.37,191307.37,21304.3,172.7,27584.44,12661.1,20579.81,12650.78,28101.84,20751.6,18473.48,31255.31,8948.1,2080.6
PO-000100,ECAE-PP-2025-1100,Finance,417746,IT Manpower Service,Framework,GWA,8011.1600 - Outsourcing Services,180523.81,180523.81,14354.07,29405.34,10069.77,29562.97,1954.89,20572.52,13666.23,24735.9,23757.42,24076.17,2850.43,24742.76
PO-000101,ECAE-PP-2025-1101,Academic Services,414641,Utilities,Regular,Emirates Services,8015.4400 - Utilities,75520.86,75520.86,4157.6,4118.56,8668.34,3182.81,11441.67,6772.53,12202.63,965.02,4239.56,4801.49,9193.67,2680.52
PO-000102,ECAE-PP-2025-1102,Information Technology,416170,Training Service,Regular,NextGen Solutions,8012.1100 - Training Services,187269.09,187269.09,19426.66,5263.26,8653.18,8947.04,18787.65,30354.66,29777.89,7090.93,9514.68,1125.55,12447.64,26051.44
PO-000103,ECAE-PP-2025-1103,Finance,413184,Utilities,Urgent,Emirates Services,8015.4400 - Utilities,122220.28,122220.28,5250.03,4644.25,183.34,15908.64,17255.9,15649.95,1515.57,15526.49,932.29,2150.94,8972.5,9699.14
PO-000104,ECAE-PP-2025-1104,HR,411356,Consulting Service,Urgent,GWA,8014.3300 - Consulting,216462.27,216462.27,262.59,33274.72,2380.94,33862.68,1015.67,27814.66,19289.48,18245.11,2625.63,8613.21,28051.61,32154.02
PO-000105,ECAE-PP-2025-1105,Facilities,414341,Utilities,Framework,Emirates Services,8015.4400 - Utilities,137383.19999999998,137383.19999999998,7128.5,2030.21,17396.32,12007.92,7021.2,9298.51,490.28,15173.94,8375.19,16349.46,14383.36,14911.9
PO-000106,ECAE-PP-2025-1106,Facilities,414434,Maintenance Contract,Framework,Emirates Services,8013.2200 - Maintenance Services,94246.58,94246.58,10063.5,1409.74,7218.77,15604.66,11255.22,8590.12,8372.75,687.45,15037.27,14579.6,10719.05,1555.25
